mfg=TDK

Vdc=700
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 280  65  5.8  1.9 2.1  40 5.5  75  95 101 0.5 1 B25690A0287K901
 370  60  5.8  1.9 2.7  40 4.6  75 120 126 0.6 1 B25690A0377K901
 380  70  7.9  2.6 1.7  40 5.0  85  95 101 0.6 1 B25690A0387K901
 420  70 11.5  3.8 1.8  40 4.2  75 155 161 0.8 1 B25690A0427K901
 500  70 10.7  3.6 1.5  40 4.6 100  95 101 0.9 2 B25690A0507K901
 510  70  7.8  2.6 2.2  40 4.7  85 120 126 0.8 1 B25690A0517K901
 520  70 11.6  3.9 1.9  60 4.2  75 176 182 0.9 1 B25690A0527K901
 570  65  7.9  2.7 2.3  40 4.6  85 135 141 0.9 1 B25690A0577K901
 580  70 15.7  5.2 1.5  40 4.3  85 155 161 1.1 1 B25690A0587K901
 600  65  7.8  2.6 2.5  40 4.5  85 140 146 1.0 1 B25690A0607K901
 700  70 11.0  3.7 1.7  40 4.2 100 120 126 1.2 2 B25690A0707K901
 720  80 15.4  5.1 1.0  40 5.3 116  96 102 1.0 3 B25690A0727K903
 730  70 15.7  5.2 1.6  60 4.2  85 176 182 1.2 1 B25690A0737K901
 780  70 11.1  3.7 1.9  40 3.9 100 135 141 1.4 2 B25690A0787K901
 850  70 11.1  3.7 2.1  40 3.8 100 140 146 1.5 2 B25690A0857K901
 850  70 22.2  7.4 1.2  40 3.4 100 155 161 1.6 2 B25690A0857K921
 980  80 15.3  5.1 1.3  40 4.9 116 121 127 1.4 3 B25690A0987K903
1000  70 21.4  7.1 1.2  60 3.1 100 176 182 2.0 2 B25690A0108K901
1100  70 15.3  5.1 1.4  90 3.2  85 252 258 1.6 1 B25690A0118K901
1150 100 30.8 10.3 1.0  60 3.5 116 155 161 1.8 3 B25690A0118K903
1200  80 15.4  5.1 1.5  40 4.8 116 141 147 1.6 3 B25690A0128K903
1400 100 31.1 10.4 1.3  60 3.3 116 176 182 2.0 3 B25690A0148K903
1900 100 30.8 10.3 1.2  90 2.6 116 230 236 2.5 3 B25690A0198K903
3400 100 49.5 16.5 1.2  90 2.0 136 304 310 4.5 4 B25690C0348K903
3800 100 50.6 16.9 1.1  90 1.8 136 345 351 5.0 4 B25690C0388K903
4300 100 52.3 17.4 1.0  90 1.6 136 370 376 5.5 4 B25690C0438K903
 
Vdc=1000
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 220  60  5.1  1.7 2.2  40 5.5  75  95 101 0.5 1 B25690A1227K001
 290  70  7.0  2.3 1.8  40 5.0  85  95 101 0.6 1 B25690A1297K001
 300  55  5.0  1.7 2.9  40 4.6  75 120 126 0.6 1 B25690A1307K001
 330  70 10.0  3.3 1.9  40 4.2  75 155 161 0.8 1 B25690A1337K001
 400  65  7.1  2.4 2.3  40 4.7  85 120 126 0.8 1 B25690A1407K001
 400  70  9.6  3.2 1.5  40 4.6 100  95 101 0.9 2 B25690A1407K011
 410  70 10.1  3.4 2.0  60 4.2  75 176 182 0.9 1 B25690A1417K001
 450  65  7.0  2.4 2.2  40 4.6  85 135 141 0.9 1 B25690A1457K001
 460  70 13.8  4.6 1.6  40 4.3  85 155 161 1.1 1 B25690A1467K001
 470  60  6.9  2.3 2.6  40 4.5  85 140 146 1.0 1 B25690A1477K001
 530  70  9.8  3.3 1.8  40 4.2 100 120 126 1.2 2 B25690A1537K001
 550  80 13.5  4.5 1.0  40 5.3 116  96 102 1.0 3 B25690A1557K003
 570  70 13.7  4.6 1.7  60 4.2  85 176 182 1.2 1 B25690A1577K001
 600  70  9.5  3.2 1.9  40 3.9 100 135 141 1.4 2 B25690A1607K001
 650  70  9.7  3.2 1.9  40 3.8 100 140 146 1.5 2 B25690A1657K001
 650  70 19.1  6.4 1.1  40 3.4 100 155 161 1.6 2 B25690A1657K021
 750  80 13.6  4.5 1.4  40 4.9 116 121 127 1.4 3 B25690A1757K003
 780  70 19.3  6.4 1.1  60 3.1 100 176 182 2.0 2 B25690A1787K001
 860  70 13.8  4.6 1.3  90 3.2  85 252 258 1.6 1 B25690A1867K001
 920  80 13.5  4.5 1.5  40 4.8 116 141 147 1.6 3 B25690A1927K003
 920 100 27.0  9.0 1.0  60 3.5 116 155 161 1.8 3 B25690A1927K023
1100 100 26.5  8.8 1.2  60 3.3 116 176 182 2.0 3 B25690A1108K003
1500 100 26.6  8.9 0.9  90 2.6 116 230 236 2.5 3 B25690A1158K003
2700 100 44.7 14.9 0.9  90 2.0 136 304 310 4.5 4 B25690C1278K003
3100 100 45.1 15.0 0.8  90 1.8 136 345 351 5.0 4 B25690C1318K003
3500 100 46.5 15.5 0.8  90 1.6 136 370 376 5.5 4 B25690C1358K003
 
Vdc=1100
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 180  60  6.1  2.0 2.3  40 5.5  75  95 101 0.5 1 B25690A1187K101
 240  70  8.5  2.8 1.9  40 5.0  85  95 101 0.6 1 B25690A1247K101
 250  55  6.0  2.0 3.0  40 4.6  75 120 126 0.6 1 B25690A1257K101
 280  70 12.2  4.1 2.0  40 4.2  75 155 161 0.8 1 B25690A1287K101
 300  55  6.1  2.0 3.4  40 4.5  75 140 146 0.7 1 B25690A1307K101
 320  65  84   2.8 2.4  40 4.7  85 120 126 0.8 1 B25690A1327K101
 330  70 11.8  3.9 1.7  40 4.6 100  95 101 0.9 1 B25690A1337K101
 340  70 12.2  4.1 2.1  60 4.2  75 176 182 0.9 1 B25690A1347K101
 420  70 17.5  5.8 1.8  40 4.3  85 155 161 1.1 1 B25690A1427K121
 450  70 11.8  3.9 2.1  40 4.2 100 120 126 1.2 2 B25690A1457K101
 470  80 16.1  5.4 1.1  40 5.3 116  96 102 1.0 2 B25690A1477K103
 480  70 16.8  5.6 1.9  60 4.2  85 176 182 1.2 1 B25690A1487K101
 500  70 11.6  3.9 2.0  40 3.9 100 135 141 1.4 2 B25690A1507K101
 540  70 11.7  3.9 2.0  40 3.8 100 140 146 1.5 2 B25690A1547K101
 550  70 24.0  8.0 1.2  40 3.4 100 155 161 1.6 2 B25690A1557K101
 620  80 16.3  5.4 1.5  40 4.9 116 121 127 1.4 3 B25690A1627K103
 660  70 23.6  7.9 1.2  60 3.1 100 176 182 2.0 2 B25690A1667K101
 720  70 16.7  5.6 1.4  90 3.2  85 252 258 1.6 1 B25690A1727K101
 760  75 16.3  5.4 1.6  40 4.8 116 141 147 1.6 3 B25690A1767K103
 770 100 32.7 10.9 1.1  60 3.5 116 155 161 1.8 3 B25690A1777K103
 900 100 32.2 10.7 1.3  60 3.3 116 176 182 2.0 3 B25690A1907K103
1200 100 31.6 10.5 1.2  90 2.6 116 230 236 2.5 3 B25690A1128K103
2200 100 54.0 18.0 1.2  90 2.0 136 304 310 4.5 4 B25690C1228K103
2600 100 54.3 18.1 1.1  90 1.8 136 345 351 5.0 4 B25690C1268K103
3000 100 58.1 19.4 1.0  90 1.6 136 370 376 5.5 4 B25690C1308K103

Vdc=1200
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 140  55  5.5  1.8  2.8  40 5.5  75  95 101 0.5 1 B25690A1147K201
 190  55  5.5  1.8  3.5  40 4.6  75 120 126 0.6 1 B25690A1197K201
 200  65  7.6  2.5  2.2  40 5.0  85  95 101 0.6 1 B25690A1207K201
 220  70 11.0  3.7  2.1  40 4.2  75 155 161 0.8 1 B25690A1227K221
 260  60  7.5  2.5  2.7  40 4.7  85 120 126 0.8 1 B25690A1267K201
 270  70 11.0  3.7  2.2  60 4.2  75 176 182 0.9 1 B25690A1277K201
 270  70 10.6  3.5  2.0  40 4.6 100  95 101 0.9 2 B25690A1277K211
 300  65  7.7  2.6  2.6  40 4.6  85 135 141 0.9 1 B25690A1307K201
 310  70 15.3  5.1  1.9  40 4.3  85 155 161 1.1 1 B25690A1317K201
 320  60  7.6  2.5  3.1  40 4.5  85 140 146 1.0 1 B25690A1327K201
 360  70 10.4  3.5  2.1  40 4.2 100 120 126 1.2 2 B25690A1367K201
 370  80 14.5  4.8  1.2  40 5.3 116  96 102 1.0 3 B25690A1377K203
 380  70 14.9  5.0  2.0  60 4.2  85 176 182 1.2 1 B25690A1387K201
 400  70 10.7  3.6  2.3  40 3.9 100 135 141 1.4 2 B25690A1407K201
 430  70 10.7  3.6  2.3  40 3.8 100 140 146 1.5 2 B25690A1437K201
 450  70 21.6  7.2  1.3  40 3.4 100 155 161 1.6 2 B25690A1457K201
 500  70 21.2  7.1  1.3  60 3.1 100 176 182 2.0 2 B25690A1507K201
 500  75 14.5  4.8. 1.7  40 4.9 116 121 127 1.4 3 B25690A1507K203
 580  70 14.8  4.9. 1.6  90 3.2  85 252 258 1.6 1 B25690A1587K201
 600  70 14.3  4.8. 1.9  40 4.8 116 141 147 1.6 3 B25690A1607K203
 620 100 29.7  9.9. 1.0  60 3.5 116 155 161 1.8 3 B25690A1627K203
 720 100 29.5  9.8. 1.3  60 3.3 116 176 182 2.0 3 B25690A1727K203
1000 100 28.9  9.6. 1.2  90 2.6 116 230 236 2.5 3 B25690A1108K203
1800 100 19.4  6.5. 1.2  90 2.0 136 304 310 4.5 4 B25690C1188K203
2100 100 48.1 16.0  1.1  90 1.8 136 345 351 5.0 4 B25690C1218K203
2400 100 51.1 17.0  1.0  90 1.6 136 370 376 5.5 4 B25690C1248K203

Vdc=1300
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 120  55  5.0  1.7  3.0  40 5.5  75  95 101 0.5 1 B25690A1127K301
 160  50  4.9  1.6  3.8  40 4.6  75 120 126 0.6 1 B25690A1167K301
 160  65  7.1  2.4  2.3  40 5.0  85  95 101 0.6 1 B25690A1167K321
 180  70  9.9  3.3  2.2  40 4.2  75 155 161 0.8 1 B25690A1187K301
 210  70  9.4  3.1  1.9  40 4.6 100  95 101 0.9 2 B25690A1217K301
 220  70  9.9  3.3  2.4  60 4.2  75 176 182 0.9 1 B25690A1227K301
 230  60  6.9  2.3  2.9  40 4.7  85 120 126 0.8 1 B25690A1237K301
 240  70 13.8  4.6  1.9  40 4.3  85 155 161 1.1 1 B25690A1247K301
 250  60  7.0  2.3  2.9  40 4.6  85 135 141 0.9 1 B25690A1257K301
 260  55  6.9  2.3  3.4  40 4.5  85 140 146 1.0 1 B25690A1267K301
 280  65  9.8  3.3  2.2  40 4.2 100 120 126 1.2 2 B25690A1287K301
 300  70 13.4  4.5  2.0  60 4.2  85 176 182 1.2 1 B25690A1307K301
 300  80 13.4  4.5  1.3  40 5.3 116  96 102 1.0 3 B25690A1307K303
 330  65  9.7  3.2  2.4  40 3.9 100 135 141 1.4 2 B25690A1337K301
 350  70 19.9  6.6  1.3  40 3.4 100 155 161 1.6 2 B25690A1357K301
 360  65  9.6  3.2  2.4  40 3.8 100 140 146 1.5 2 B25690A1367K301
 420  70 19.7  6.6  1.4  60 3.1 100 176 182 2.0 2 B25690A1427K301
 420  75 13.7  4.6  1.7  40 4.9 116 121 127 1.4 3 B25690A1427K303
 480  70 13.8  4.6  1.6  90 3.2  85 252 258 1.6 1 B25690A1487K301
 500 100 27.6  9.2  1.1  60 3.5 116 155 161 1.8 3 B25690A1507K303
 520  70 13.9  4.6  1.9  40 4.8 116 141 147 1.6 3 B25690A1527K303
 600 100 27.8  9.3  1.3  60 3.3 116 176 182 2.0 3 B25690A1607K303
 830 100 27.7  9.2  1.2  90 2.6 116 230 236 2.5 3 B25690A1837K303
1500 100 45.7 15.2  1.2  90 2.0 136 304 310 4.5 4 B25690C1158K303
1700 100 46.3 15.4  1.1  90 1.8 136 345 351 5.0 4 B25690C1178K303
1900 100 47.8 15.9  1.0  90 1.6 136 370 376 5.5 4 B25690C1198K303
 
Vdc=1500
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 100  50  4.4  1.5  3.4  40 5.5  75  95 101 0.5 1 B25690A1107K501*
 120  50  4.2  1.4  4.5  40 4.6  75 120 126 0.6 1 B25690A1127K501*
 130  60  6.5  2.2  2.7  40 5.0  85  95 101 0.6 1 B25690A1137K501*
 150  65  9.0  3.0  2.5  40 4.2  75 155 161 0.8 1 B25690A1157K521*
 170  70  8.3  2.8  2.0  40 4.6 100  95 101 0.9 2 B25690A1177K501*
 180  55  6.5  2.2  3.4  40 4.7  85 120 126 0.8 1 B25690A1187K501*
 210  60  6.6  2.2  2.7  40 4.6  85 135 141 0.9 1 B25690A1217K501*
 210  70 13.0  4.3  2.1  40 4.3  85 155 161  1.1 1 B25690A1217K521*
 230  60  6.5  2.2  3.1  40 4.5  85 140 146 1.0 1 B25690A1237K501*
 240  65  8.5  2.8  2.4  40 4.2 100 120 126 1.2 2 B25690A1247K501*
 250  70 12.5  4.2  2.2  60 4.2  85 176 182 1.2 1 B25690A1257K501*
 250  80 12.1  4.0  1.5  40 5.3 116  96 102 1.0 3 B25690A1257K503*
 270  65  8.4  2.8  2.6  40 3.9 100 135 141 1.4 2 B25690A1277K501*
 280  70 16.1  5.4  1.4  40 3.4 100 155 161 1.6 2 B25690A1287K501*
 330  70 11.6  3.9  2.0  40 4.9 116 121 127 1.4 3 B25690A1337K503*
 340  70 16.0  5.3  1.4  60 3.1 100 176 182 2.0 2 B25690A1347K501
 380  70 12.1  4.0  1.6  90 3.2  85 252 258 1.6 1 B25690A1387K501
 400 100 25.1  8.4  1.2  60 3.5 116 155 161 1.8 3 B25690A1407K503
 420  70 12.4  4.1  2.2  40 4.8 116 141 147 1.6 3 B25690A1427K503*
 500  90 24.3  8.1  1.4  60 3.3 116 176 182 2.0 3 B25690A1507K503
 680 100 24.0  8.0  1.1  90 2.6 116 230 236 2.5 3 B25690A1687K503
1200 100 39.6 13.2  1.2  90 2.0 136 304 310 4.5 4 B25690C1128K503
1400 100 41.8 13.9  1.2  90 1.8 136 345 351 5.0 4 B25690C1148K503
1600 100 45.0 15.0  1.0  90 1.6 136 370 376 5.5 4 B25690C1168K503

Vdc=1700
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 170  50  5.7  1.9  3.3  40 4.5  85 140 146 1.0 1 B25690A1177K701*
 260  80 10.6  3.5  1.8  60 3.8  85 230 236 1.4 1 B25690A1267K701
 270  70 10.6  3.5  2.1  40 4.9 116 121 127 1.4 3 B25690A1277K703*
 320  70 10.7  3.6  2.2  40 4.8 116 141 147 1.6 3 B25690A1327K703*
 360  80 14.3  4.8  1.8  40 3.0 136 121 127 1.9 4 B25690C1367K703*
 380 100 21.3  7.1  1.2  60 3.3 116 176 182 2.0 3 B25690A1387K703
 440  80 14.0  4.7  2.0  40 2.8 136 141 147 2.2 4 B25690C1447K703*
 500 100 28.0  9.3  1.1  60 2.5 136 176 182 2.8 4 B25690C1507K703
 520 100 21.2  7.1  1.3  90 2.6 116 230 236 2.5 3 B25690A1527K703
 700 100 28.5  9.5  1.2  90 2.2 136 230 236 3.5 4 B25690C1707K703
 850 100 28.4  9.5  1.3  90 2.0 136 268 274 3.9 4 B25690C1857K703
1100 100 35.4 11.8  1.1  90 1.8 136 345 351 5.0 4 B25690C1118K703
1200 100 38.8 12.9  1.0  90 1.6 136 370 376 5.5 4 B25690C1128K703

Vdc=2000
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
 110  50  4.4  1.5  3.6  40 4.5  85 140 146 1.0 1 B25690A2117K001*
 170  80  8.8  2.9  1.9  60 3.8  85 230 236 1.4 1 B25690A2177K001
 180  70  8.8  2.9  2.2  40 4.9 116 121 127 1.4 3 B25690A2187K003*
 220  70  8.8  2.9  2.4  40 4.8 116 141 147 1.6 3 B25690A2227K003*
 250  80 12.2  4.1  1.9  40 3.0 136 121 127 1.9 4 B25690C2257K003*
 260 100 18.1  6.0  1.2  60 3.3 116 176 182 2.0 3 B25690A2267K003
 300  80 12.0  4.0  2.1  40 2.8 136 141 147 2.2 4 B25690C2307K003*
 360 100 17.6  5.9  1.4  90 2.6 116 230 236 2.8 3 B25690A2367K003
 360 100 24.2  8.1  1.1  60 2.5 136 176 182 2.5 4 B25690C2367K003
 480 100 24.4  8.1  1.3  90 2.2 136 230 236 3.5 4 B25690C2487K003
 600 100 24.1  8.0  1.4  90 2.0 136 268 274 3.9 4 B25690C2607K003
 750 100 30.9 10.3  1.1  90 1.8 136 345 351 5.0 4 B25690C2757K003
 800 100 32.3 10.8  1.0  90 1.6 136 370 376 5.5 4 B25690C2807K003

Vdc=2200
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  90  45  4.0  1.3  3.8  40 4.5  85 140 146 1.0 1 B25690A2906K201*
 140  80  8.1  2.7  2.0  60 3.8  85 230 236 1.4 1 B25690A2147K201
 150  70  8.1  2.7  2.3  40 4.9 116 121 127 1.4 3 B25690A2157K203*
 180  65  8.0  2.7  2.6  40 4.8 116 141 147 1.6 3 B25690A2187K203*
 200  75 10.9  3.6  2.0  40 3.0 136 121 127 1.9 4 B25690C2207K203*
 210 100 15.7  5.2  1.2  60 3.3 116 176 182 2.0 3 B25690A2217K203
 250  75 11.1  3.7  2.2  40 2.8 136 141 147 2.2 4 B25690C2257K203*
 280 100 16.3  5.4  1.5  90 2.6 116 230 236 2.8 3 B25690A2287K203
 280 100 22.4  7.5  1.1  60 2.5 136 176 182 2.5 4 B25690C2287K203
 400 100 21.7  7.2 11.3  90 2.2 136 230 236 3.5 4 B25690C2407K203
 480 100 22.3  7.4 11.5  90 2.0 136 268 274 3.9 4 B25690C2487K203
 620 100 27.0  9.0  1.2  90 1.8 136 345 351 5.0 4 B25690C2627K203 ???
 670 100 28.7  9.6  1.1  90 1.6 136 370 376 5.5 4 B25690C2677K203 ???

Vdc=2400
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  75  45  7.8  2.6 4.0  40 4.5  85 140 146 1.0 1 B25690A2756K401*
 120  75  7.9  2.6 2.1  60 3.8  85 230 236 1.4 1 B25690A2127K401
 120  65 15.2  5.1 2.4  40 4.9 116 121 127 1.4 3 B25690A2127K403*
 140  65 15.4  5.1 2.7  40 4.8 116 141 147 1.6 3 B25690A2147K403*
 160  75 20.8  6.9 2.1  40 3.0 136 121 127 1.9 4 B25690C2167K403*
 170 100 14.9  5.0 1.3  60 3.3 116 176 182 2.0 3 B25690A2177K403
 200  75 20.5  6.8 2.3  40 2.8 136 141 147 2.2 4 B25690C2207K403*
 230 100 20.6  6.9 1.2  60 2.5 136 176 182 2.5 4 B25690C2237K403
 240 100 14.9  5.0 1.5  90 2.6 116 230 236 2.8 3 B25690A2247K403
 320 100 20.5  6.8 1.4  90 2.2 136 230 236 3.5 4 B25690C2327K403
 400 100 50.5 16.8 1.5  90 2.0 136 268 274 3.9 4 B25690C2407K403
 500 100 49.9 16.6 1.3  90 1.8 136 345 351 5.0 4 B25690C2507K403
 550 100 52.3 17.4 1.1  90 1.6 136 370 376 5.5 4 B25690C2557K403
 
Vdc=2600
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  60  40  7.5  2.5 4.2  40 4.5  85 140 146 1.0 1 B25690A2606K601*
 100  70  7.3  2.4 2.2  60 3.8  85 230 236 1.4 1 B25690A2107K601
 100  65 13.8  4.6 2.5  40 4.9 116 121 127 1.4 3 B25690A2107K603*
 120  65 14.3  4.8 2.8  40 4.8 116 141 147 1.6 3 B25690A2127K603*
 140 100 13.6  4.5 1.3  60 3.3 116 176 182 1.9 3 B25690A2147K603
 140  75 19.3  6.4 2.1  40 3.0 136 121 127 2.0 4 B25690C2147K603*
 170  70 18.6  6.2 2.4  40 2.8 136 141 147 2.2 4 B25690C2177K603*
 200 100 13.8  4.6 1.6  90 2.6 116 230 236 2.8 3 B25690A2207K603
 200 100 19.1  6.4 1.2  60 2.5 136 176 182 2.5 4 B25690C2207K603
 270 100 19.0  6.3 1.4  90 2.2 136 230 236 3.5 4 B25690C2277K603
 330 100 46.9 15.6 1.6  90 2.0 136 268 274 3.9 4 B25690C2337K603
 420 100 47.9 16.0 1.3  90 1.8 136 345 351 5.0 4 B25690C2427K603
 460 100 48.0 16.0 1.1  90 1.6 136 370 376 5.5 4 B25690C2467K603

Vdc=2800
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  55  40  6.7  2.2 4.4  40 4.5  85 140 146 1.0 1 B25690A2556K801*
  80  70  6.7  2.2 2.3  60 3.8  85 230 236 1.4 1 B25690A2806K801
  85  65 12.7  4.2 2.6  40 4.9 116 121 127 1.4 3 B25690A2856K803*
 100  60 12.8  4.3 3.0  40 4.8 116 141 147 1.6 3 B25690A2107K803*
 120 100 12.4  4.1 1.4  60 3.3 116 176 182 1.9 3 B25690A2127K803
 120  70 17.2  5.7 2.2  40 3.0 136 121 127 2.0 4 B25690C2127K803*
 150  70 17.5  5.8 2.5  40 2.8 136 141 147 2.2 4 B25690C2157K803*
 170 100 12.7  4.2 1.6  90 2.6 116 230 236 2.8 3 B25690A2177K803
 170 100 17.6  5.9 1.2  60 2.5 136 176 182 2.5 4 B25690C2177K803
 230 100 17.6  5.9 1.4  90 2.2 136 230 236 3.5 4 B25690C2237K803
 280 100 43.3 14.4 1.6  90 2.0 136 268 274 3.9 4 B25690C2287K803
 360 100 44.8 14.9 1.3  90 1.8 136 345 351 5.0 4 B25690C2367K803
 400 100 43.4 14.5 1.1  90 1.6 136 370 376 5.5 4 B25690C2407K803

Vdc=3000
  uF   A   kA   kA  mO  nH K/W Dia  Ht Ht1  kg   Part Number
  45  40  6.2  2.1 4.7  40 4.5  85 140 146 1.0 1 B25690A3456K001*
  70  70  6.3  2.1 2.4  60 3.8  85 230 236 1.4 1 B25690A3706K001
  75  60 11.9  4.0 2.7  40 4.9 116 121 127 1.4 3 B25690A3756K003*
  90  60 11.6  3.9 3.0  40 4.8 116 141 147 1.6 3 B25690A3906K003*
 100  95 11.7  3.9 1.4  60 3.3 116 176 182 1.9 3 B25690A3107K003
 100  70 16.1  5.4 2.3  40 3.0 136 121 127 2.0 4 B25690C3107K003*
 120  70 15.9  5.3 2.6  40 2.8 136 141 147 2.2 4 B25690C3127K003*
 140  95 11.7  3.9 1.7  90 2.6 116 230 236 2.8 3 B25690A3147K003
 140 100 16.2  5.4 1.3  60 2.5 136 176 182 2.5 4 B25690C3147K003
 200 100 16.1  5.4 1.5  90 2.2 136 230 236 3.5 4 B25690C3207K003
 240 100 40.2 13.4 1.7  90 2.0 136 268 274 3.9 4 B25690C3247K003
 320 100 40.7 13.6 1.3  90 1.8 136 345 351 5.0 4 B25690C3327K003
 330 100 41.2 13.7 1.1  90 1.6 136 370 376 5.5 4 B25690C3337K003

